# German-English dictionary created from OmegaWiki database
# Created on: 2011-03-24T07:33:00+01:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
ADI-Wert	acceptable daily intake
mathematische Methode	mathematical method
maßgeblich	authoritative
mechanische Abwasserreinigung	primary treatment
mechanische Geräte und Anlagen	mechanical equipment
mechanische Schwingung	mechanical vibration
mediterraner Forst ; mediterraner Wald	Mediterranean forest
mediterranes Buschwerk	Mediterranean wood
mediterranes Klima ; Mittelmeerklima	Mediterranean climate
medizinischer Beruf	health care profession
menschliche Gesundheit	human health
menschliche Krankheit	human disease
menschlicher Körper	human body
menschlicher Lebensraum	human habitat
metallisches Mineral	metallic mineral
metallorganische Verbindung	organometallic compound
meteorologische Forschung	meteorological research
meteorologischer Parameter	meteorological parameter
mikrobiologische Analyse ; mikrobiologische Untersuchung	microbiological analysis
militärische Aktivitäten	military activities
militärische Ausrüstung	military equipment
mineralische Verunreinigung	mineral pollution
mineralischer Bodenverbesserer	mineral conditioner
mit	alongside ; amongst ; with
mit gespreizten Beinen	astride
monetäre Bewertung	monetary assessment
multilaterales Abkommen	multilateral agreement
multinationales Unternehmen	multinational firm
mutagener Stoff	mutagen
nationale Gesetzgebung	national legislation
nationales Fischereigebiet	national fishing reserve
natürliche Radioaktivität	natural radioactivity
natürliche Regeneration	natural regeneration
natürliche Ressource	natural resource
natürliche Umwelt	natural environment
nein	no
neu	new ; novel
neuartige Materialien	new material
neue Gemeinschaft	new community
neue Technologie	new technology
neun	9 ; nine
nicht	not
nicht bebaute Fläche	non-built-up area
nicht-konventionelle Energie	non-conventional energy
nichterneuerbare Energieressourcen	non-renewable energy resource
nichterneuerbare Ressourcen	non-renewable resource
nichtflüchtiger Stoff	non-volatile substance
nichtionisierende Strahlung	non-ionising radiation
nichtmetallisches Mineral	non-metallic mineral
nichts	nothing
nukleare Gefahr	nuclear hazard
nukleare Sicherheit	nuclear safety
nähen	sew
nützlich ; nützlich	useful
obsolet	obsolete
oder ; oder	or
offene Rasenfläche	open lawn
organische Chemie	organic chemistry
organische Chlorverbindung	organochlorine compound
organische Halogenverbindung	organohalogen compound
organische Phosphorverbindung	organophosphorous compound
organische Sauerstoffverbindung	organooxygen compound
organische Schwefelverbindung	organosulphur compound
organische Stickstoffverbindung	organonitrogen compound
organische Substanz	organic matter
organische Verunreinigung	organic pollution
organischer Abfall	organic waste
organischer Kohlenstoff	organic carbon
organischer Schadstoff	organic pollutant
organischer Stickstoff	organic nitrogen
organischer Stoff	organic substance
organisches Lösungsmittel	organic solvent
organoleptische Eigenschaft	organoleptic property
oxidierbarer Stoff	oxidisable material
ozeanischer Strömungsprozess	ocean circulation
parlamentarische Debatte	parliamentary debate
parlamentarischer Bericht	parliamentary report
pathologische Wirkung	pathologic effect
persistenter organischer Schadstoff	persistant organic pollutant
petrochemische Industrie	petrochemical industry
pflanzliche Ressourcen	plant resource
pflanzliche Textilfaser	plant textile fibre
phonetik ; Phonetik	phonetics
photochemische Reaktion	photochemical reaction
photochemische Verunreinigung	photochemical pollution
photochemischer Smog	photochemical smog
photochemisches Mittel	photochemical agent
photochemisches Produkt	photochemical product
physikalisch-chemische Analyse	physicochemical analysis
physikalisch-chemische Behandlung	physicochemical treatment
physikalisch-chemische Reinigung	physicochemical purification
physikalisch-chemische Verfahren ; physikalisch-chemisches Verfahren	physicochemical process
physikalische Behandlung	physical treatment
physikalische Chemie	physical chemistry
physikalische Kenngröße ; physikalische Eigenschaft	physical property
physikalische Messung von Verunreinigungen	physical measurement of pollution
physikalische Verunreinigung	physical pollution
physikalische Veränderung	physical alteration
physikalischer Schadstoff	physical pollutant
physikalischer Vorgang	physical process
physische Geographie	physical geography
plötzlich ; jäh ; abrupt ; unvermittelt ; schlagartig ; urplötzlich	sudden ; abrupt ; precipitous
politische Geographie	political geography
politische Ideologie	political ideology
politische Lehrmeinung	political doctrine
politische Leitlinie	policy guideline
politische Macht	political power
politische Organisation	political organisation
politische Partei ; Partei	party ; political party
politische Ökologie	political ecology
politisches Instrument	policy instrument
polychloriertes Dibenzo-p-Dioxin	polychlordibenzo-p-dioxin
polyzyklische aromatische Kohlenwasserstoffe	polycyclic aromatic hydrocarbon
polyzyklischer Kohlenwasserstoff	polycyclic hydrocarbon
privater Bereich ; Privatgelände ; privates Gebiet	private domain
privater Sektor	private sector
produzierende Tätigkeit	manufacturing activity
produzierendes Gewerbe	manufacturing trade
prostata ; Prostata ; Vorsteherdrüse	prostate
psychische Wirkung	psychic effect
psychologische Wirkung	psychological effect
psychologischer Streß	psychological stress
psychosomatische Krankheit	psychosomatic illness
psychosomatische Wirkung	psychosomatic effect
radioaktive Ablagerung	radioactive dumping
radioaktive Emission ; Austreten von Radioaktivität	radioactive emission
radioaktive Entseuchung	radioactive decontamination
radioaktive Substanz	radioactive substance
radioaktive Verseuchung ; radioaktive Kontaminierung	radioactive contamination
radioaktiver Abfall ; Atommüll	radioactive waste ; nuclear waste
radioaktiver Schadstoff	radioactive pollutant
radioaktiver Tracer	radioactive tracer
radioaktives Element	radioelement
recycelbarer Kunststoff	recyclable plastic
regionale Aufforstung	local afforestation
regionale Konvention	regional convention
regionale Regelung	regional regulation
regionaler Naturpark	regional natural park
reisen	travel
relationale Datenbank	relational database
renaissance ; Renaissance	renaissance
rittlings	astride
sagen	say
sanitäre Einrichtung	sanitary fitting
saphir ; Saphir	sapphire
saubere Technologie	clean technology
saure Deposition	acid deposition
saurer Regen	acid rain
schlachten	slaughter
schlafen ; schlafend	asleep
schreiben	write
schwarz ; Schwarz	black
schwer	heavy
schwer ; schwierig ; diffizil ; kniffelig ; knifflig ; verzwickt ; vertrackt ; kompliziert	difficult
schwerentsorgbarer Abfall	hard-to-dispose-of waste
schätzen ; begrüßen	appreciate
sehen	see
seismische Aktivität	seismic activity
seltene Art	rare species
sich kümmern	attend
sich kümmern um	attend
sowie ; und	and ; as well as ; in addition to ; together with ; too
soziale Absicherung	social protection
sozialer Wohnungsbau	low-cost housing
sozioökonomischer Aspekt von menschlichen Siedlungen	socioeconomic aspect of human settlements
stehlen ; entwenden	bag ; pocket ; steal
strafbare Handlung ; strafbare Handlung ; Verstoß ; Übertretung	infraction
strafrechtliche Verantwortlichkeit	criminal liability
strategisch	strategic
stumm	dumb
städtische Müllkippe	municipal dumping
städtischer Umweltplan	municipal environment plan
süß	sweet
taub ; gehörlos	deaf
tausend	thousand
teratogener Stoff	teratogen
terrestrische Aktivität	land-based activity
terrestrische Meeresverunreinigung	land-based marine pollution
tierische Abfälle	animal waste
tierisches Produkt	animal product
tourismusbedingte Umweltbelastung	environmental impact of tourism
toxische Metalle ; toxisches Metall	toxic metal
toxische Substanz	toxic substance
trinken	drink ; gulp ; quaff ; sip
trocken	dry
trockene Deposition	dry deposition
tropische Pflanze	tropical plant
tropischer Regenwald	tropical rain forest
träumen	dream
tschuwaschische Sprache ; Tschuwaschisch ; Tschttaschisch	Chuvash ; Chuvash ; Chuwash ; Chovash ; Chavash ; Chttash
tulkki ; Dolmetscher	interpreter
umweltbedingte Krankheit	environmentally related disease
umweltbedingter Anreiz	environmental incentive
umweltbewusstes Verhalten	environmentally responsible behaviour
umweltfeindlicher Betrieb	environmentally unfriendly firm
umweltfreundliche Beschaffung	environmental friendly procurement
umweltfreundliche Energiequelle	non-polluting energy source
umweltfreundlicher Brennstoff	non-polluting fuel
umweltfreundliches Auto	clean air car
umweltfreundliches Produkt	environmentally friendly product
umweltgefährdende Stoffe ; umweltgefährdender Stoff	environmentally dangerous substance
umwelthygienische Gefahr	environmental health hazard
umwelthygienische Verträglichkeitsprüfung	environmental health impact assessment
umweltorientierte Unternehmensführung	environmentally friendly management
umweltpolitisches Instrument	environmental policy instrument
umweltrechtliche Strafverfolgung	environmental law enforcement
umweltökonomische Angelegenheit	environmental economy issue
umweltökonomische Bewertung	environmental economic valuation
umweltökonomische Gesamtrechnung	national environmental accounting
unbestimmter Rechtsbegriff	indefinite legal concept
und	and
unfallbedingte Freisetzung von Organismen	accidental release of organisms
unlöslicher Stoff	insoluble substance
verabscheuen	abhor ; loathe ; detest
verblüffend	astounding
verblüfft	astound
verfügbar	available
verkaufen ; veräußern ; vertreiben ; feilbieten ; feilhalten	sell
verkehrsberuhigtes Wohngebiet	residential area with traffic calmings
vermehren	augment
verunreinigter Boden	contaminated soil
verunreinigter Standort	polluted site
vier	four
voll ; beladen	full
vorbeugende Information	preventive information
weiträumiger Transport	long-distance transport
weiß	white
wertvoll	valuable
wir	nosotros ; we
wirtschaftliche Rechte	economic rights
wirtschaftliche Stützung	economic support
wissenschaftliche Forschung	scientific research
wissenschaftliche Zusammenarbeit	scientific co-operation
wissenschaftlicher Disput	scientific dispute
zehn	ten
zentraler Parkbereich	central park area
zuerst ; erst ; erste	first
zufällige Verunreinigung	incidental pollution
zulässiges Risikoniveau	acceptable risk level
zusammen	together
zusammenberufen	assemble ; get together ; gather
zustimmen	assent
zuteilen	assign
zwei ; zwei ; Zwei	two
zwischen ; zwischen ; zwischen	between
Ägypten	Egypt ; Arab Republic of Egypt
Ägäisches Meer ; Ägäis	Aegean Sea
Äquator	equator
Äquatorialguinea	Equatorial Guinea ; Republic of Equatorial Guinea
Äquivalentdosis	equivalent dose
Ästhetik	aesthetics
Ästuar	estuary
Ästuarbiologie	estuarine biology
Ästuarschutzgebiet	estuarine conservation area
Ästuarverschmutzung	estuary pollution
Äthiopien	Ethiopia ; Federal Democratic Republic of Ethiopia
Ätzmittel	etching substance
Åland-Inseln	Åland Islands
Öffentliche Anhörung	public hearing
Öffentliche Arbeit	public works
Öffentliche Ausgaben	public expenditure
Öffentliche Beschaffung	public procurement
Öffentliche Diskussion	public discussion
Öffentliche Finanzen	public finance
Öffentliche Finanzierung	public financing
Öffentliche Hilfe	public aid
Öffentliche Industrie- und Handelseinrichtung	public institution of industrial and commercial nature
Öffentliche Institution	public institution
Öffentliche Maßnahme	public action
Öffentliche Meeresgebietsnutzung	public maritime domain
Öffentliche Meinung	public opinion
Öffentliche Schuld	public debt
Öffentliche Sicherheit	civil safety
Öffentliche Verwaltungseinrichtung	public institution of administrative nature
Öffentlicher Sektor ; öffentlicher Sektor	public sector
Öffentlicher Verkehr	public transport
Öffentliches Ereignis ; öffentliche Aufgabe ; gesellschaftliche Funktion	public function
Öffentliches Gebäude	public building
Öffentliches Recht	public law
Öffentliches Versorgungsunternehmen	public utility
Öffentliches Zugangsrecht	public access to land
Öffentlichkeit	public
Öffentlichkeit Auftrag	public contract
Öffentlichkeitsarbeit	public relations
Öffentlichkeitskampagne	public awareness campaign
Öko-Haus	green building
Ökoentwicklung	ecodevelopment
Ökologie	ecology
Ökologiebewegung	ecologist movement
Ökologische Belastbarkeit	ecological carrying capacity
Ökologische Bestandsaufnahme	ecological stocktaking
Ökologische Buchführung	ecological bookkeeping
Ökologische Buchführung	environmental accounting
Ökologischer Parameter	ecological parameter
Ökomarketing	ecomarketing
Ökonomie ; Wirtschaftswissenschaft ; Ökonomik	economic science ; economics
Ökophysiologie	ecophysiology
Ökopädiatrie	eco-paediatrics
Ökosystem	ecosystem
Ökosystem der Antarktis	Antarctic ecosystem
Ökosystem der Arktis	Arctic ecosystem
Ökosystemabbau	ecosystem degradation
Ökosystemanalyse	ecosystem analysis
Ökosystemforschung	ecosystem research
Ökosystemtyp	ecosystem type
Ökotourismus	ecotourism
Ökotoxikologie	ecotoxicology
Ökotoxizität	ecotoxicity
Ökotyp	ecotype
Ökozone	ecozone
Ölauffangschiff	oil recovery vessel
Ölbindemittel	oil binding agent
Ölbohrung	drilling for oil
Öle- und Fetteindustrie	oil and fat industry
Ölexploration	oil exploration
Ölfernleitung ; Ölpipeline	oil pipeline
Ölförderung	oil production (chain)
Ölpestbekämpfung ; Ölteppichbeseitigung	oil pollution abatement
Ölraffinerie	oil refinery
Ölrückstandswiederaufarbeitung	oil residue recuperation
Ölrückstände	olive oil mill wastewater
Ölsperre	oil boom
Öltanker	oil tanker
Ölteppich	oil slick
Ölunfall	oil disaster
Ölunfall	oil spill
Ölverschmutzung ; Erdölverschmutzung	oil pollution
Österreich-Ungarn ; Österreichisch-Ungarische Monarchie ; Donaumonarchie ; Doppelmonarchie	Austria-Hungary ; Austro-Hungarian Empire
Übelkeit	nausea
Überdruckausrüstung	pressure equipment
Überdüngung	overfertilisation
Übereinkommen	agreement
Überfischung	overfishing
Übergangselemente ; Übergangselement ; Übergangsmetall	transition element ; transition metal
Überlandleitung	overhead power line
Überlandtransport	land transportation
Überlauf	overflow (outlet)
Überlegung	consideration
Übernahme	takeover
Überquerung	crossing place
Überquerung für Tiere	crossing place for animals
Überschwemmung	flooding
Übersetzung	translation
Übervölkerung	overpopulation
Überwachungskriterium	monitoring criterion
Überweidung	overgrazing
Überwinterung	overwintering
äquatoriales Klima	equatorial climate
öffentlich-private Zusammenarbeit	public-private partnership
öffentliche Anhörung	public inquiry
öffentlicher Wasserweg	public waterways domain
öffentliches Gewässer	non-demesnial water
öffentliches Verkehrsmittel	public transport vehicle
ökologische Ausgleichsmaßnahme	compensatory measure
ökologische Bewertung	ecological assessment
ökologische Gesellschaft	ecological community
ökologische Nische	ecological niche
ökologische Ungleichheit	ecological inequality
ökologische Vorrangfläche	ecologically sensitive area
ökologischer Faktor	ecological factor
ökologischer Reichtum	ecological abundance
ökologisches Gleichgewicht	ecological balance
ökonomisch-ökologische Effizienz	economical-ecological efficiency
ökonomische Aktivität	economic activity
ökonomische Analyse	economic analysis
ökonomische Daten	economic data
ökonomische Situation	economic situation
