# French-English dictionary created from OmegaWiki database
# Created on: 2011-03-22T11:10:01+01:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
ADN ; acide désoxyribonucléique	DNA ; deoxyribonucleic acid
Îles Wallis et Futuna ; Wallis-et-Futuna ; Territoire des îles Wallis-et-Futuna	Wallis and Futuna ; Territory of the Wallis and Futuna Islands
Îles Åland	Åland Islands
à califourchon	astride
à terre	ashore
âcre	acrid
âge	age
âne ; baudet ; bourricot	donkey ; ass
éboulement	landslide
échange d'informations	information exchange
échange d'ions	ion exchange
échange de données	data exchange
échange de données informatisées	interchange of electronic data
échangeur d'ions	ion exchanger
échecs ; jeu d'échec	chess
échinoderme	echinoderm
éclairage	lighting
écluse	canal lock
éco-audit	environmental statement (eco-audit) ; environmental statement ; eco-audit
éco-compatibilité	environmental compatibility
écocitoyenneté	environmental citizenship
écoindustrie	environmental industry
écolabel	ecolabel
écolabellisation	ecolabelling
école ; établissement scolaire	school
écologie	ecology
écologie agricole	agricultural ecology ; agroecology
écologie animale	animal ecology
écologie appliquée	applied ecology
écologie des populations	population ecology
écologie des terres	land ecology
écologie du paysage	landscape ecology
écologie forestière	forest ecology
écologie humaine	human ecology
écologie marine	marine ecology
écologie politique	political ecology
écologie végétale	plant ecology
écologisme	environmentalism
écomarketing	ecomarketing
écomusée	ecomuseum
économie	economy
économie d'énergie	energy saving
économie de l'environnement	environmental economics
économie de l'énergie	energy economics
économie de la pêche	fishery economics
économie de marché	market economy
économie des affaires	business economics
économie environnementale des entreprises	environmental economics of firms
économie forestière	forestry economics
économie industrielle	industrial economics
économie monétaire	monetary economics
économie nationale	national economy
économie à deux vitesses	dual economy
écophysiologie	ecophysiology
écopédiatrie	eco-paediatrics
écosystème	ecosystem
écosystème aquatique	aquatic ecosystem
écosystème arctique	Arctic ecosystem
écosystème côtier	coastal ecosystem
écosystème d'eau douce	freshwater ecosystem
écosystème d'importance internationale	internationally important ecosystem
écosystème de l'Antarctique	Antarctic ecosystem
écosystème insulaire	island ecosystem
écosystème marin	marine ecosystem
écotaxe	environmental tax
écotourisme	ecotourism
écotoxicité	ecotoxicity
écotoxicologie	ecotoxicology
écotype	ecotype
écoulement des crues	flood runoff
écozone	ecozone
écran antibruit	noise barrier
écrire	write
édaphologie	edaphology
édifice gouvernemental	government building
éducation	education
éducation ; éducation (formation) ; formation	upbringing
éducation à l'environnement	environmental education
édulcorant	sweetener
église	church
éjaculation	ejaculation
élagage	pruning
élasticité	elasticity
élection	ballot
électricité	electricity
électrolyse	electrolysis
électromagnétisme	electromagnetism
électron	electron
électronique	electronics
élevage	animal husbandry
élevage de bétail	livestock breeding
élevage de bétail	livestock farming
élevage extensif de bétail	extensive cattle farming
élevage industriel	factory farming
élevage intensif	intensive animal husbandry
élimination	removal
élimination de polluant	pollutant elimination
élimination des batteries	battery disposal
élimination des matériels de guerre	disposal of warfare materials
élément chimique ; élément	chemical element ; element
élément de combustible nucléaire	nuclear fuel element
élément de transition	transition element ; transition metal
élément du paysage	landscape component
élément trace	trace element
éléments du groupe 0 ; gaz nobles ; gaz rares ; gaz noble ; gaz rare ; élément du groupe 0	element of group 0 ; noble gas
éléments du groupe II (métaux alcalino-terreux) ; éléments du groupe II ; métaux alcalino-terreux ; métal alcalino-terreux ; élément du groupe II	element of group II (alkaline earth metals) ; alkaline earth metal ; element of group II
éléments du groupe III ; élément du groupe III	element of group III
éléments du groupe IV ; élément du groupe IV	element of group IV
éléments du groupe V ; élément du groupe V	element of group V
éléments du groupe VI ; élément du groupe VI	element of group VI
éléments du groupe VII ; halogène ; élément du groupe VII	element of group VII ; halogen
éléphant	elephant
élévation du niveau de la mer	rising sea level
émancipation	emancipation
émergence	emergency
émission	emission
émission atmosphérique	atmospheric emission
émission de polluant	pollutant emission
émission du bruit	noise emission
émission radioactive	radioactive emission
émissions industrielles	industrial emission
émulsification	emulsification
émulsion	emulsion
énergie	energy
énergie conventionnelle	conventional energy
énergie géothermique	geothermal energy
énergie hydroélectrique	hydroelectric energy
énergie non-conventionnelle	non-conventional energy
énergie nucléaire	nuclear energy
énergie solaire	solar energy
énergie à base de charbon	coal-based energy
énergie à base de pétrole	oil-based energy
énergie électrique ; puissance électrique	electric power
énergie éolienne	wind power
éphémère	ephemeral
épicentre	epicentre
épidémie	epidemic
épidémiologie	epidemiology
épigramme	epigram
épilepsie	epilepsy
épinards	spinach
éponge	poriferan
épouse ; femme ; mariée	wife ; spouse
époux ; mari	husband ; spouse
épuration	purification
épuration biologique	biological wastewater treatment
épuration biologique des effluents gazeux	biological waste gas purification
épuration des eaux usées	waste water purification
épuration des gaz	gas purification
épuration par le sol	purification through the soil
épuration physicochimique	physicochemical purification
épée	sword
équarrissage	carcass disposal
équarrissage	quartering
équateur	equator
équation	equation
équidé	equine
équilibrage des intérêts	balancing of interests
équilibre international	international balance
équilibre écologique	ecological balance
équipement	equipment
équipement agricole	agricultural equipment
équipement agricole ; machine agricole	agricultural equipment ; agricultural machinery ; farm machinery
équipement collectif	community facility ; public facility
équipement culturel	cultural facility
équipement d'usine	plant equipment
équipement de lutte contre la pollution	pollution control equipment
équipement de pêche	fisheries structure
équipement industriel	industrial equipment
équipement sanitaire	sanitary fitting
équipement sous pression	pressure equipment
équipement thermique	thermal equipment
équipement électrotechnique	electrotechnical equipment
équipment du bâtiment	building service
érosion	erosion
éruption volcanique	volcanic eruption
établir	ascertain
établissement d'enseignement	educational institution
établissement humain	human settlement
établissement industriel (bâtiment) ; établissement industriel	industrial plant (building) ; industrial plant
établissement public	public institution
établissement public à caractère administratif	public institution of administrative nature
établissement public à caractère industriel et commercial	public institution of industrial and commercial nature
étain	tin
étalonnage	calibration
étanchéité de base de décharge	landfill base sealing
étang	pond
état	country ; nation ; state
état colloïdal	colloidal state
état des émissions	emission situation
état gazeux	gaseous state
état liquide	liquid state
éthanol	ethanol
éther	ether
éthique	ethics
éthique de l'environnement	environmental ethics
éthologie	ethology
étiage	low flow
étiologie	disease cause
étiquetage	labelling
étoile	star
étoile binaire	binary star
étonnant	astonishing
étonnement	astonishment
étonner	astonish
étonner	surprise
étrange	strange ; odd
étranger	foreign
étude d'environnement	environmental study
étude d'impact sur l'environnement	environmental impact study
étude de bureau	desk study
étude de danger	danger analysis
étude de la lumière réfléchie ; réflectométrie	reflectometry
étude de marché	market research
étude de marché	market study
étude de milieu	environmental analysis
étude de terrain	field study
étude des risques naturels	natural risk analysis
étude expérimentale	experimental study
étuve	stove
été	summer
évaluation	evaluation
évaluation de l'impact	impact assessment
évaluation de l'impact des conditions de vie sur la santé	environmental health impact assessment
évaluation de produits	product evaluation
évaluation de technologie	evaluation of technology
évaluation des dommages	damage assessment
évaluation des polluants	pollutant assessment
évaluation des ressources	resource appraisal
évaluation des risques pour l'environnement	environmental risk assessment
évaluation du patrimoine naturel	natural heritage assessment
